CNPJ_BASICO;CNPJ_ORDEM;CNPJ_DV;IDENTIFICADOR_MATRIZ_FILIAL;NOME_FANTASIA;SITUACAO_CADASTRAL;DATA_SITUACAO_CADASTRAL;MOTIVO_SITUACAO_CADASTRAL;NOME_CIDADE_EXTERIOR;PAIS;DATA_INICIO_ATIVIDADE;CNAE_FISCAL_PRINCIPAL;CNAE_FISCAL_SECUNDARIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD_1;TELEFONE_1;DDD_2;TELEFONE_2;DDD_FAX;FAX;CORREIO_ELETRONICO;SITUACAO_ESPECIAL;DATA_SITUACAO_ESPECIAL;ENDERECO_COMPLETO;CNAE_PRINCIPAL_FILTRO
"00011872";"0001";"55";"1";"BAR E LANCHES CISNE";"02";"20051103";"00";"";"";"19940530";"0322101";"0321301";"AVENIDA";"BENEDITO JOSE DA SILVA";"03";"";"LAVAPES";"07600000";"SP";"6671";"";"";"";"";"";"";"";"";"";"AVENIDA, BENEDITO JOSE DA SILVA, 03, LAVAPES, 07600000, SP, 6671, Brasil";1
"04962972";"0001";"18";"1";"BLV AQUACULTURA";"02";"20210512";"00";"";"";"20020312";"0321305";"0311604,0312404,0321303,0321399,0322107";"LARGO";"HIPPOLITO DO VALLE PEREIRA";"281";"CASA  I";"LAGOA DA CONCEICAO";"88062210";"SC";"8105";"48";"32320449";"";"";"48";"32320449";"METODOCONTABIL@YAHOO.COM.BR";"";"";"LARGO, HIPPOLITO DO VALLE PEREIRA, 281, CASA  I, LAGOA DA CONCEICAO, 88062210, SC, 8105, Brasil";1
"00074614";"0001";"18";"1";"";"02";"20100515";"00";"";"";"19940523";"0322101";"0321301";"RUA";"VIDAL DE NEGREIROS";"02";"TERREO";"COMERCIO";"40454280";"BA";"3849";"";"";"";"";"";"";"";"";"";"RUA, VIDAL DE NEGREIROS, 02, TERREO, COMERCIO, 40454280, BA, 3849, Brasil";1
"00088611";"0001";"33";"1";"";"02";"20051103";"00";"";"";"19940610";"0322101";"0321301";"";"PR 182 KM 53";"S/N";"";"LINHA SAO JOSE";"85790000";"PR";"7489";"";"";"";"";"";"";"";"";"";"PR 182 KM 53, S/N, LINHA SAO JOSE, 85790000, PR, 7489, Brasil";1
"03430110";"0001";"81";"1";"FAMASC";"02";"20211201";"00";"";"";"19991004";"0322199";"0321399";"RUA";"DOM JOAQUIM";"757";"SALA 10";"CENTRO";"88015310";"SC";"8105";"48";"2258897";"";"";"48";"2238340";"famasc@agrorede.org.br";"";"";"RUA, DOM JOAQUIM, 757, SALA 10, CENTRO, 88015310, SC, 8105, Brasil";1
"03497703";"0001";"65";"1";"AMAZ0NIA OCEANICA INDUSTRIAL";"02";"20051103";"00";"";"";"19991112";"0311601";"0312401";"PARQUE";"INDUSTRIAL RODOVIA MACAPA/SANTANA";" S/N";"KM-018";"SANTANA";"68925001";"AP";"0615";"";"";"";"";"";"";"";"";"";"PARQUE, INDUSTRIAL RODOVIA MACAPA/SANTANA, S/N, KM-018, SANTANA, 68925001, AP, 0615, Brasil";1
"96470364";"0001";"04";"1";"";"02";"20051103";"00";"";"";"19930407";"0322101";"0321301";"RUA";"ALVARO ALVIM";"1538";"44";"VILA PAULICEIA";"09693000";"SP";"7075";"";"";"";"";"";"";"";"";"";"RUA, ALVARO ALVIM, 1538, 44, VILA PAULICEIA, 09693000, SP, 7075, Brasil";1
"05318751";"0001";"74";"1";"SEA LIFE";"02";"20051103";"00";"";"";"20021004";"0322199";"0312402,4789099";"ACESSO LOCAL";"LUGAR SARDIM";"SN";"";"ZONA RURAL";"64222000";"PI";"0288";"86";"95162222";"";"";"86";"3239683";"MILENAW31@YAHOO.COM.BR";"";"";"ACESSO LOCAL, LUGAR SARDIM, SN, ZONA RURAL, 64222000, PI, 0288, Brasil";1
"05346107";"0001";"00";"1";"ESPERACA PESCADOS";"02";"20021015";"00";"";"";"20021015";"0311601";"0311602,0312401,0312402,1020102,1099604,4634603,4930201";"RUA";"SIQUEIRA MENDES";"634-A";"SALA B";"CRUZEIRO/ICOARACI";"66810050";"PA";"0427";"91";"2272462";"";"";"";"";"";"";"";"RUA, SIQUEIRA MENDES, 634-A, SALA B, CRUZEIRO/ICOARACI, 66810050, PA, 0427, Brasil";1
"03878843";"0001";"83";"1";"PSICULTURA GULANDI";"02";"20031018";"00";"";"";"20000609";"0322101";"0321301";"";"ENGENHO GULANDI";"S/N";"ZONA RURAL";"ZONA RURAL";"55409000";"PE";"0548";"";"";"";"";"";"";"";"";"";"ENGENHO GULANDI, S/N, ZONA RURAL, ZONA RURAL, 55409000, PE, 0548, Brasil";1
"00666758";"0001";"63";"1";"PESCA E PAGUE BELA VISTA";"02";"20051103";"00";"";"";"19950626";"0322101";"0321301";"";"LOC  EST.VIC.ROSANA A PRIMAV";"S/N";"KM 15 ZONA RURAL";"PRIMAVERA";"19273000";"SP";"7265";"";"";"";"";"";"";"";"";"";"LOC  EST.VIC.ROSANA A PRIMAV, S/N, KM 15 ZONA RURAL, PRIMAVERA, 19273000, SP, 7265, Brasil";1
"02292518";"0001";"71";"1";"PROJETO PACU";"02";"20220107";"00";"";"";"19971126";"0322101";"0322107,4623199,4634603,4930202,6463800,6810202,6822600,7490199";"RODOVIA";"MS 352 (TERENOS/PONTE DO GREGO), KM 13, LADO ESQUERDO A 4,7";"S/N";": FAZENDA SANTA ROSA;";"ZONA RURAL";"79190000";"MS";"9159";"67";"30410400";"67";"33211220";"67";"30410400";"CONTABIL@PROJETOPACU.COM.BR";"";"";"RODOVIA, MS 352 (TERENOS/PONTE DO GREGO), KM 13, LADO ESQUERDO A 4,7, S/N, : FAZENDA SANTA ROSA, ZONA RURAL, 79190000, MS, Brasil";1
"04134566";"0003";"29";"2";"PESQUEIRA MAGUARY";"02";"20031004";"00";"";"";"20020221";"0311601";"0312401";"RUA";"JOAQUIM PERGENTINO";"255";"";"CENTRO";"62817000";"CE";"0987";"";"";"";"";"";"";"";"";"";"RUA, JOAQUIM PERGENTINO, 255, CENTRO, 62817000, CE, 0987, Brasil";1
"00739800";"0001";"29";"1";"";"02";"20031018";"00";"";"";"19950731";"0322101";"0321301";"RUA";"CAROLINA MAZOTTI";"79";"";"JD TROPICAL";"13806223";"SP";"6717";"";"";"";"";"";"";"";"";"";"RUA, CAROLINA MAZOTTI, 79, JD TROPICAL, 13806223, SP, 6717, Brasil";1
"05814264";"0005";"26";"2";"FAZENDAS BOPIL";"02";"20050408";"00";"";"";"20021122";"0322101";"0321301";"";"BR 222 KM 81";"S/N";"";"ACUDE FRIOS";"62660000";"CE";"9855";"";"";"";"";"";"";"";"";"";"BR 222 KM 81, S/N, ACUDE FRIOS, 62660000, CE, 9855, Brasil";1
"09018953";"0002";"32";"2";"ALMASA";"02";"20210629";"00";"";"";"19961001";"0322101";"0321301";"";"LOC  BR 226 KM 104";"S/N";"";"MATOES";"65645000";"MA";"0831";"";"";"";"";"";"";"";"";"";"LOC  BR 226 KM 104, S/N, MATOES, 65645000, MA, 0831, Brasil";1
"05831131";"0001";"34";"1";"CLUBE DE PESCA IGARASSU";"02";"20051103";"00";"";"";"20030624";"0311601";"0312401";"AVENIDA";"RUBENS FRANCO";"200";"";"JARDIM SAMANTHA";"13605180";"SP";"6165";"19";"99849777";"";"";"19";"33528008";"THIAGO.ALMEIDA@ALBU.COM.BR";"";"";"AVENIDA, RUBENS FRANCO, 200, JARDIM SAMANTHA, 13605180, SP, 6165, Brasil";1
